carat,cut,color,clarity,depth,table,price,x,y,z
1.2,Ideal,H,SI1,61.9,54,6169,6.8,6.86,4.23
0.91,Good,I,SI1,64,58,2348,6.01,5.99,3.84
0.41,Ideal,E,VVS1,61.9,55,1431,4.79,4.78,2.96
0.44,Premium,F,SI1,60.9,58,1023,4.96,4.92,3.01
1.73,Good,J,SI1,65.6,55,8703,7.42,7.47,4.88
1.06,Ideal,I,SI2,61.8,57,4270,6.57,6.6,4.07
0.3,Very Good,D,VS2,62.6,61,710,4.22,4.25,2.65
0.71,Very Good,E,VVS2,63.4,58,3340,5.64,5.69,3.59
1.2,Premium,F,VS1,62.3,58,8580,6.78,6.71,4.2
0.7,Fair,G,SI2,65.2,56,2117,5.63,5.54,3.64
0.9,Good,D,SI1,63.2,62,4068,6.06,6.13,3.85
0.75,Premium,F,SI1,61.4,59,2782,5.88,5.85,3.6
1.11,Premium,E,SI2,62.6,59,5152,6.71,6.65,4.18
0.97,Ideal,H,SI2,60.7,55,3729,6.47,6.41,3.91
0.7,Ideal,I,VS2,62.5,56,2232,5.66,5.7,3.55
0.5,Premium,G,VS1,62.5,58,1624,5.07,5.11,3.18
1.93,Premium,H,VS2,62.8,58,17353,7.91,7.86,4.95
1.57,Ideal,I,SI1,61.7,56,9555,7.45,7.48,4.61
1.33,Premium,G,SI2,60.3,58,6565,7.16,7.19,4.33
0.43,Very Good,E,VS2,62.2,58,869,4.81,4.87,3.01
0.36,Ideal,D,VVS2,61.6,57,1114,4.59,4.56,2.82
1.22,Ideal,I,VS1,61.9,55.7,6469,6.81,6.84,4.23
0.43,Premium,E,VVS1,59.5,58,1433,4.92,4.96,2.94
0.42,Ideal,J,VS1,60.9,57,663,4.83,4.86,2.95
1.01,Good,F,VVS2,61.1,65,8956,6.38,6.42,3.91
1.2,Premium,G,VS1,62.5,59,8056,6.72,6.64,4.19
1.51,Very Good,I,SI2,62.9,58,7139,7.24,7.3,4.57
0.7,Very Good,H,VS1,60.3,63,2399,5.77,5.73,3.47
0.33,Premium,H,VS2,61.3,60,668,4.47,4.44,2.73
1.09,Ideal,G,I1,61,56,3549,6.62,6.66,4.05
0.92,Ideal,J,VS1,62.4,56,3332,6.23,6.19,3.88
0.34,Ideal,G,VS2,61.8,56,765,4.52,4.48,2.78
0.7,Ideal,H,VS1,61.9,56,2710,5.7,5.73,3.54
2.2,Ideal,I,SI2,62.2,56,14277,8.34,8.29,5.18
1.27,Ideal,E,SI2,60.2,57,6383,7.09,7.14,4.28
1.25,Ideal,J,SI1,62.1,58,5252,6.86,6.89,4.27
0.33,Ideal,D,SI2,62,57,631,4.46,4.45,2.76
1,Premium,E,VS2,61.5,58,6720,6.42,6.39,3.94
0.82,Ideal,F,VS2,61.9,57,3514,5.96,5.99,3.7
0.9,Premium,H,VS2,63,61,3810,6.14,6.05,3.84
0.51,Ideal,H,VVS2,61.6,55,1877,5.11,5.14,3.16
0.91,Premium,E,SI1,62.5,61,4434,6.19,6.1,3.84
1.5,Very Good,J,VS1,61.3,59,8662,7.36,7.41,4.53
0.7,Premium,E,VS1,60.8,60,2822,5.74,5.71,3.48
0.32,Ideal,E,VVS2,62.3,56,842,4.37,4.4,2.73
0.51,Ideal,H,IF,59.6,59,2063,5.2,5.24,3.11
1.02,Premium,I,SI1,62.7,55,4284,6.48,6.41,4.04
0.9,Premium,D,SI1,62.1,60,3812,6.2,6.14,3.83
0.71,Very Good,H,SI1,60.7,60,2266,5.73,5.76,3.49
1.14,Ideal,D,SI2,61.4,56,5548,6.69,6.77,4.13
1.02,Ideal,H,SI1,61.9,57,4924,6.4,6.46,3.98
2.03,Ideal,H,SI1,64.4,54,16900,7.97,7.92,5.12
0.61,Very Good,I,VS2,62.7,57,1706,5.39,5.42,3.39
1.5,Good,H,SI2,59.8,61,6798,7.39,7.49,4.45
0.32,Ideal,H,VVS2,61.6,55,628,4.43,4.46,2.74
0.39,Very Good,G,VVS1,60.3,57,873,4.74,4.78,2.87
0.73,Ideal,D,VS2,61.9,56,3255,5.76,5.81,3.58
0.32,Premium,G,VS1,61.7,58,645,4.38,4.41,2.71
0.5,Very Good,H,VS2,61.8,63,1178,5.08,5.05,3.13
0.71,Ideal,F,SI1,60.9,55,2669,5.74,5.88,3.54
0.38,Premium,G,SI1,61.4,61,855,4.66,4.62,2.85
1.2,Very Good,G,SI1,63.2,59,5665,6.77,6.74,4.27
0.53,Very Good,D,VVS2,61.1,55,2472,5.22,5.28,3.21
0.55,Premium,D,SI1,61.7,59,1728,5.3,5.23,3.25
0.3,Premium,D,VS2,61.9,58,710,4.28,4.32,2.66
0.9,Very Good,H,VS1,62.5,58,4328,6.08,6.14,3.82
0.31,Premium,F,VS2,62.4,58,802,4.34,4.31,2.7
1.5,Ideal,I,SI1,59.4,60,8555,7.54,7.5,4.47
1.08,Premium,I,VS1,62.5,57,4877,6.54,6.51,4.08
0.51,Premium,F,SI1,61.3,59,1421,5.19,5.15,3.17
1.08,Premium,H,VS2,62.1,58,5250,6.63,6.51,4.08
1.71,Ideal,G,VVS2,62.1,55,18599,7.63,7.66,4.75
0.27,Ideal,I,VS1,62.2,54,432,4.16,4.2,2.6
1.26,Ideal,G,SI1,61.3,57,7230,6.94,6.99,4.27
0.32,Ideal,D,SI1,61.5,54,715,4.42,4.46,2.73
0.41,Ideal,E,VVS1,61.1,56,1745,4.8,4.82,2.94
0.33,Very Good,E,SI1,63.1,56,693,4.45,4.42,2.8
0.31,Ideal,H,VVS1,62,55,671,4.34,4.37,2.7
0.78,Ideal,J,VS1,61.4,57,2426,5.9,5.93,3.63
0.32,Good,F,SI2,63.5,56,421,4.35,4.37,2.77
1.2,Very Good,E,SI1,62.7,57,7310,6.7,6.79,4.23
1.51,Premium,H,SI1,62,58,9511,7.38,7.34,4.56
2.06,Premium,G,SI2,61.7,58,17012,8.2,8.15,5.04
0.34,Premium,E,SI1,59.3,58,612,4.59,4.55,2.71
1.21,Ideal,J,VS1,62.3,55,5324,6.81,6.86,4.26
1.1,Premium,F,VS2,61.1,57,7115,6.71,6.65,4.08
1.76,Ideal,F,SI2,62.6,55,9659,7.69,7.64,4.8
1.05,Premium,I,SI2,60.2,61,4374,6.64,6.61,3.99
1.11,Ideal,E,SI2,61.4,58,5938,6.63,6.66,4.08
0.27,Ideal,E,VVS2,62.1,57,799,4.15,4.13,2.57
0.41,Ideal,D,VVS2,62.3,55,1295,4.76,4.77,2.97
1.63,Ideal,D,SI2,59.4,59,10281,7.73,7.67,4.57
1.2,Premium,H,VS1,61.3,58,6626,6.85,6.81,4.19
0.55,Premium,F,VS2,62.2,58,1580,5.22,5.26,3.26
0.37,Premium,E,VS2,60.3,58,1041,4.66,4.63,2.8
0.31,Ideal,E,IF,63,55,1214,4.34,4.37,2.73
1.25,Premium,H,SI2,61.6,54,5740,6.95,6.85,4.25
0.76,Ideal,F,VS2,61,55,3201,5.92,5.89,3.6
0.58,Good,G,SI1,63.8,56,1388,5.3,5.33,3.39
1.5,Good,J,SI2,60.9,62,6746,7.3,7.32,4.45
0.55,Ideal,E,SI1,60.6,56,1668,5.33,5.3,3.22
1.19,Ideal,E,SI2,60.2,57,5822,6.87,6.84,4.13
1.08,Premium,G,VS2,62.4,57,6532,6.56,6.49,4.07
1.5,Premium,F,SI1,61.4,59,11484,7.31,7.34,4.5
0.31,Premium,H,SI1,62.7,58,435,4.31,4.34,2.71
0.76,Ideal,E,SI1,61.8,57,3170,5.84,5.87,3.62
0.91,Ideal,G,SI1,62.5,56,4673,6.19,6.22,3.88
0.96,Ideal,F,VS1,61.2,56,5666,6.38,6.34,3.89
0.3,Good,D,VVS2,63.6,55,752,4.25,4.31,2.72
1.11,Very Good,H,SI2,59,59,4584,6.79,6.82,4.02
0.41,Ideal,D,VS2,61.7,56,1007,4.78,4.81,2.96
0.38,Ideal,J,SI1,61.8,54,525,4.68,4.7,2.9
0.37,Very Good,F,SI1,62.3,59,616,4.57,4.61,2.86
2.05,Premium,G,SI2,62.1,56,12857,8.18,8.1,5.04
1.2,Premium,G,SI2,59.2,60,5278,6.92,6.9,4.09
1.7,Very Good,H,SI1,63.6,59,11560,7.46,7.55,4.77
0.5,Ideal,D,VVS2,61.9,55.1,2639,5.07,5.1,3.15
0.31,Very Good,E,VVS2,58.8,59,704,4.46,4.45,2.62
0.71,Premium,F,VS2,62.1,58,2801,5.7,5.67,3.53
0.52,Ideal,G,SI1,61.7,56,1266,5.18,5.22,3.21
2.01,Very Good,I,VS2,59.2,62,16626,8.14,8.17,4.83
0.7,Good,E,VS1,58.7,60,3148,5.79,5.83,3.41
0.5,Very Good,E,VS2,61.4,59,1624,5.09,5.13,3.14
0.71,Good,E,SI1,58.4,61,2573,5.85,5.93,3.44
0.5,Very Good,F,VS2,60.6,58,1436,5.07,5.12,3.09
0.71,Very Good,G,SI1,61.2,61,2266,5.66,5.71,3.48
0.52,Ideal,E,VS2,62.1,56,1694,5.2,5.17,3.22
0.41,Very Good,E,VVS1,62.9,58,1249,4.72,4.75,2.98
1.07,Ideal,I,VS2,61.1,57,4319,6.66,6.6,4.05
1.08,Premium,F,SI2,59.9,58,3931,6.75,6.66,4.01
0.53,Ideal,D,SI1,62,55,1753,5.24,5.22,3.24
0.71,Ideal,H,IF,61.6,55,3290,5.75,5.78,3.55
1.57,Premium,G,SI1,59.2,59,11113,7.68,7.6,4.52
0.52,Very Good,G,VS2,62.4,60,1423,5.14,5.18,3.22
1.57,Very Good,J,SI2,62.1,60,6702,7.37,7.41,4.59
1.27,Premium,H,VS2,58.9,61,5832,7.09,7.03,4.16
0.32,Ideal,H,VS2,61.5,57,534,4.41,4.45,2.72
1.01,Very Good,D,SI2,60.3,57,4588,6.51,6.56,3.94
0.31,Very Good,G,IF,61.7,54,924,4.33,4.36,2.68
0.61,Premium,I,VS2,58.8,58,1308,5.59,5.53,3.27
0.43,Ideal,G,VS1,62.3,56,1008,4.85,4.82,3.01
0.3,Premium,I,VS1,59.1,59,608,4.38,4.35,2.58
